ID,Journal,Publisher,Peer review,Preprint,OA,APC (US$),website,Notes
AAG,Annals of the American Association of Geographers,T&F,D,No,Hybrid,3300,https://www.tandfonline.com/journals/raag21,
AGIS,Annals of GIS,T&F,D,No,Full,1680,https://www.tandfonline.com/journals/tagi20,
APG,Applied Geography,Elsevier,D,No,Hybrid,2900,https://www.sciencedirect.com/journal/applied-geography,
C&G,Computers & Geosciences,Elsevier,S,Yes,Hybrid,3630,https://www.sciencedirect.com/journal/computers-and-geosciences,
CaGIS,Cartography and Geographic Information Science,T&F,D,No,Hybrid,3500,https://www.tandfonline.com/journals/tcag20,
CEUS,"Computers, Environment and Urban Systems",Elsevier,D,No,Hybrid,3740,https://www.sciencedirect.com/journal/computers-environment-and-urban-systems,
EPB,Environment and Planning B,Sage,D,No,Hybrid,3250,https://journals.sagepub.com/home/EPB,Changed name from Environment & Planning B: Design and Planning to Environment & Planning B: Urban Analytics and City Science in 2019.
G&RS,GIScience and Remote Sensing,T&F,S,Yes,Full,2630,https://www.tandfonline.com/journals/tgrs20,Transitioned to full open access in 2022
GEAN,Geographical Analysis,Wiley,D,No,Hybrid,3760,https://onlinelibrary.wiley.com/journal/15384632,
GEIN,Geoinformatica,Springer,S,Yes,Hybrid,2590,https://link.springer.com/journal/10707,
GSIS,Geo-spatial Information Science,T&F,D,No,Full,2070,https://www.tandfonline.com/journals/tgsi20,
IJDE,International Journal of Digital Earth,T&F,D,No,Full,2630,https://www.tandfonline.com/journals/tjde20,Transitioned to full open access in 2022
IJGI,ISPRS International Journal of Geo-information,MDPI,S,Yes,Full,1890,https://www.mdpi.com/journal/ijgi,
IJGIS,International Journal of Geographical Information Science,T&F,D,No,Hybrid,3650,https://www.tandfonline.com/journals/tgis20,
JAG,International Journal of Applied Earth Observation and Geoinformation,Elsevier,S,Yes,Full,2400,https://www.sciencedirect.com/journal/international-journal-of-applied-earth-observation-and-geoinformation,
JGS,Journal of Geographical Systems,Springer,D,No,Hybrid,3090,https://link.springer.com/journal/10109,
JGSA,Journal of Geovisualization and Spatial Analysis,Springer,D,No,Hybrid,2990,https://link.springer.com/journal/41651,
JOSIS,Journal of Spatial Information Science,â€“,S,Yes,Full,0,https://josis.org/index.php/josis,Run and published by volunteers as a service to the community.
JSS,Journal of Spatial Science,T&F,D,No,Hybrid,3175,https://www.tandfonline.com/journals/tjss20,
P&RS,ISPRS Journal of Photogrammetry and Remote Sensing,Elsevier,S,Yes,Hybrid,3310,https://www.sciencedirect.com/journal/isprs-journal-of-photogrammetry-and-remote-sensing,
PE&RS,Photogrammetric Engineering and Remote Sensing,ASPRS,D,No,Hybrid,1500,https://www.sciencedirect.com/journal/photogrammetric-engineering-and-remote-sensing,"APC is waived for primary authors from subscribing institutions and individual members of ASPRS.

"
SCC,Spatial Cognition and Computation,T&F,S,Yes,Hybrid,3175,https://www.tandfonline.com/journals/hscc20,
TGIS,Transactions in GIS,Wiley,S,Yes,Hybrid,3450,https://onlinelibrary.wiley.com/journal/14679671,
TSAS,ACM Transactions on Spatial Algorithms and Systems,ACM,S,Yes,Hybrid,1800,https://dl.acm.org/journal/tsas,
